City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,genhe,50.7833,121.5167,57.58,94,0,3.24,CN,1689804254
267,rongelap,11.1635,166.8941,84.09,77,83,15.17,MH,1689804254
268,bomdila,27.25,92.4,58.55,90,18,5.64,IN,1689804254
269,mejit,10.2753,170.8646,82.81,83,100,19.77,MH,1689804254
270,ribas do rio pardo,-20.4431,-53.7592,73.94,59,0,7.85,BR,1689804255
271,balikpapan,-1.2675,116.8289,77.99,100,40,8.05,ID,1689804255
272,cidreira,-30.1811,-50.2056,57.67,68,79,15.12,BR,1689804255
273,las heras,-46.5419,-68.9359,39.06,86,100,21.61,AR,1689804255
274,lata,40.1629,-8.3327,57.92,98,4,2.35,PT,1689804255
275,albertina,-22.2008,-46.6158,59.36,85,63,3.15,BR,1689804255
276,ad-damazin,11.7891,34.3592,76.26,76,99,6.2,SD,1689804255
277,san patricio,28.017,-97.5169,101.12,48,0,18.16,US,1689804255
278,inirida,3.8653,-67.9239,79.03,92,33,1.72,CO,1689804255
279,pacific grove,36.6177,-121.9166,76.21,81,75,10.36,US,1689804256
280,hinton,53.4001,-117.5857,73.83,35,79,4.29,CA,1689804256
281,calama,-22.4667,-68.9333,63.37,4,40,7.14,CL,1689804149
282,zavodskoy,43.4597,132.2922,65.79,100,100,4.47,RU,1689804158
283,mount isa,-20.7333,139.5,60.57,82,100,0.0,AU,1689804256
284,vadso,70.0744,29.7487,49.08,87,75,19.57,NO,1689804256
285,cape coast,5.1053,-1.2466,76.91,90,88,12.1,GH,1689804256
286,saint-philippe,-21.3585,55.7679,69.39,90,49,11.21,RE,1689804256
287,pandan,14.0453,124.1694,78.85,89,100,1.39,PH,1689804256
288,along,28.1667,94.7667,75.22,93,48,0.98,IN,1689804257
289,hameenkyro,61.6391,23.1953,54.05,74,76,3.4,FI,1689804257
290,hirara,24.8,125.2833,82.72,73,14,5.77,JP,1689804257
291,kapa'a,22.0752,-159.319,80.92,80,100,18.41,US,1689804257
292,barra de santo antonio,-9.4047,-35.5072,78.08,80,28,11.23,BR,1689804257
293,sitka,57.0531,-135.33,60.69,72,100,5.75,US,1689804258
294,quelimane,-17.8786,36.8883,67.03,92,2,2.62,MZ,1689804258
295,buala,-8.145,159.5921,81.75,83,64,3.62,SB,1689804258
296,bedi,22.5,70.05,80.83,88,100,11.72,IN,1689804258
297,quellon,-43.1167,-73.6167,53.85,94,100,6.91,CL,1689804258
